icao_code,iata_code,airport_name,city,country,lat_degrees,lat_minutes,lat_seconds,lat_direction,lon_degrees,lon_minutes,lon_seconds,lon_direction,altitude,lat_dec,lon_dec
SBPT,N/A,N/A,OBENTENI,PERU,000,000,000,U,000,000,000,U,00000,0,0
SBPV,PVH,GOVERNADOR JORGE TEIXEIRA DE OLIVEIRA,PORTO VELHO,BRAZIL,008,042,033,S,063,054,008,W,00089,-8.709,-63.902
SBPW,N/A,N/A,PINDAMONHANGABA,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBQV,N/A,VITORIA DA CONQUISTA,VITORIA DA CONQUISTA,BRAZIL,014,051,045,S,040,051,047,W,00914,-14.862,-40.863
SBRB,RBR,PRESIDENTE MEDICI,RIO BRANCO,BRAZIL,009,052,008,S,067,053,037,W,00194,-9.869,-67.894
SBRF,REC,GUARARAPES,RECIFE,BRAZIL,008,007,035,S,034,055,024,W,00011,-8.126,-34.923
SBRG,RIG,RIO GRANDE,RIO GRANDE,BRAZIL,032,004,057,S,052,009,059,W,00009,-32.083,-52.166
SBRJ,SDU,SANTOS DUMONT,RIO DE JANEIRO,BRAZIL,022,054,037,S,043,009,047,W,00004,-22.91,-43.163
SBRP,RAO,LEITE LOPES,RIBEIRAO PRETO,BRAZIL,021,008,003,S,047,046,027,W,00550,-21.134,-47.774
SBRQ,N/A,N/A,SAO ROQUE,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBSA,N/A,N/A,SAO CARLOS,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBSC,STU,SANTA CRUZ,RIO DE JANEIRO,BRAZIL,022,055,056,S,043,043,008,W,00004,-22.932,-43.719
SBSI,IGU,N/A,IGUASSU FALLS,BRAZIL,000,000,000,U,000,000,000,U,00000,0,0
SBSJ,SJK,SAO JOSE DOS CAMPOS,SAO JOSE DOS CAMPOS,BRAZIL,023,013,045,S,045,051,041,W,00647,-23.229,-45.861
